"","Judge","car_alone","never_airplane","loaner","clothes_second","bulk","local_products","unplug","low_temperature","vegetarian","air_drying","car_alone_text","never_airplane_text","loaner_text","clothes_second_text","bulk_text","local_products_text","unplug_text","low_temperature_text","vegetarian_text","air_drying_text","age","situation","residence","occupation","Habit","Score"
"1","1","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","I don't have a car or a license, nor the code.","I like to travel and I would like to see my mother from time to time who lives 3000km away from me.","I find that borrowing is going to be more advantageous to me economically speaking and then it doesn't make me hot or cold not to be the owner of an object that has no sentimental value, that I will use anyway only once.","I love buying second hand clothes, it's like a treasure hunt. It's a bit like a treasure hunt and it's cheaper. However, some situations, especially when buying gifts, lead me to buy clothes in stores. Moreover, I sometimes have a weakness for a certain clothing which is only available in store.","Some products have no equivalent without packaging, but for those that do, or for those products that are not so good and whose purchase depends on my individual pleasure, it's an easy choice to make. Example: I don't buy any more Waouh pancakes even if it hurts my little heart.","I am able to do this but it would change my lifestyle. I would have to adapt to cooking only with seasonal fruits and vegetables and that can be restrictive when you have a specific dish in mind.","This will decrease my energy impact so that's good. The only constraint is my laptop where I sometimes have pages open that I want/need to keep open.","Just think about it. I don't mind putting on a sweater when I'm in my room, and when my extremities get cold, I just stick to the radiator.","I am already almost vegetarian, I eat fish but rarely. The only constraint is that I can no longer eat cheese and eggs or cereals because these are foods that I like to eat. I cannot do without a bowl of cereal if the opportunity arises. The economic constraint doesn't bother me as much as the fact that I have to do without non-vegan foods in what I eat.","It costs me less money and despite the fact that my room smells musty throughout the day, I tell myself that all I have to do is open a window to air out.",19,"M","City","Student","car_alone_score",0
"2","1","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","I don't have a car or a license, nor the code.","I like to travel and I would like to see my mother from time to time who lives 3000km away from me.","I find that borrowing is going to be more advantageous to me economically speaking and then it doesn't make me hot or cold not to be the owner of an object that has no sentimental value, that I will use anyway only once.","I love buying second hand clothes, it's like a treasure hunt. It's a bit like a treasure hunt and it's cheaper. However, some situations, especially when buying gifts, lead me to buy clothes in stores. Moreover, I sometimes have a weakness for a certain clothing which is only available in store.","Some products have no equivalent without packaging, but for those that do, or for those products that are not so good and whose purchase depends on my individual pleasure, it's an easy choice to make. Example: I don't buy any more Waouh pancakes even if it hurts my little heart.","I am able to do this but it would change my lifestyle. I would have to adapt to cooking only with seasonal fruits and vegetables and that can be restrictive when you have a specific dish in mind.","This will decrease my energy impact so that's good. The only constraint is my laptop where I sometimes have pages open that I want/need to keep open.","Just think about it. I don't mind putting on a sweater when I'm in my room, and when my extremities get cold, I just stick to the radiator.","I am already almost vegetarian, I eat fish but rarely. The only constraint is that I can no longer eat cheese and eggs or cereals because these are foods that I like to eat. I cannot do without a bowl of cereal if the opportunity arises. The economic constraint doesn't bother me as much as the fact that I have to do without non-vegan foods in what I eat.","It costs me less money and despite the fact that my room smells musty throughout the day, I tell myself that all I have to do is open a window to air out.",19,"M","City","Student","never_airplane_score",5
"3","1","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","I don't have a car or a license, nor the code.","I like to travel and I would like to see my mother from time to time who lives 3000km away from me.","I find that borrowing is going to be more advantageous to me economically speaking and then it doesn't make me hot or cold not to be the owner of an object that has no sentimental value, that I will use anyway only once.","I love buying second hand clothes, it's like a treasure hunt. It's a bit like a treasure hunt and it's cheaper. However, some situations, especially when buying gifts, lead me to buy clothes in stores. Moreover, I sometimes have a weakness for a certain clothing which is only available in store.","Some products have no equivalent without packaging, but for those that do, or for those products that are not so good and whose purchase depends on my individual pleasure, it's an easy choice to make. Example: I don't buy any more Waouh pancakes even if it hurts my little heart.","I am able to do this but it would change my lifestyle. I would have to adapt to cooking only with seasonal fruits and vegetables and that can be restrictive when you have a specific dish in mind.","This will decrease my energy impact so that's good. The only constraint is my laptop where I sometimes have pages open that I want/need to keep open.","Just think about it. I don't mind putting on a sweater when I'm in my room, and when my extremities get cold, I just stick to the radiator.","I am already almost vegetarian, I eat fish but rarely. The only constraint is that I can no longer eat cheese and eggs or cereals because these are foods that I like to eat. I cannot do without a bowl of cereal if the opportunity arises. The economic constraint doesn't bother me as much as the fact that I have to do without non-vegan foods in what I eat.","It costs me less money and despite the fact that my room smells musty throughout the day, I tell myself that all I have to do is open a window to air out.",19,"M","City","Student","loaner_score",1
"4","1","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","I don't have a car or a license, nor the code.","I like to travel and I would like to see my mother from time to time who lives 3000km away from me.","I find that borrowing is going to be more advantageous to me economically speaking and then it doesn't make me hot or cold not to be the owner of an object that has no sentimental value, that I will use anyway only once.","I love buying second hand clothes, it's like a treasure hunt. It's a bit like a treasure hunt and it's cheaper. However, some situations, especially when buying gifts, lead me to buy clothes in stores. Moreover, I sometimes have a weakness for a certain clothing which is only available in store.","Some products have no equivalent without packaging, but for those that do, or for those products that are not so good and whose purchase depends on my individual pleasure, it's an easy choice to make. Example: I don't buy any more Waouh pancakes even if it hurts my little heart.","I am able to do this but it would change my lifestyle. I would have to adapt to cooking only with seasonal fruits and vegetables and that can be restrictive when you have a specific dish in mind.","This will decrease my energy impact so that's good. The only constraint is my laptop where I sometimes have pages open that I want/need to keep open.","Just think about it. I don't mind putting on a sweater when I'm in my room, and when my extremities get cold, I just stick to the radiator.","I am already almost vegetarian, I eat fish but rarely. The only constraint is that I can no longer eat cheese and eggs or cereals because these are foods that I like to eat. I cannot do without a bowl of cereal if the opportunity arises. The economic constraint doesn't bother me as much as the fact that I have to do without non-vegan foods in what I eat.","It costs me less money and despite the fact that my room smells musty throughout the day, I tell myself that all I have to do is open a window to air out.",19,"M","City","Student","clothes_second_score",2
"5","1","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","I don't have a car or a license, nor the code.","I like to travel and I would like to see my mother from time to time who lives 3000km away from me.","I find that borrowing is going to be more advantageous to me economically speaking and then it doesn't make me hot or cold not to be the owner of an object that has no sentimental value, that I will use anyway only once.","I love buying second hand clothes, it's like a treasure hunt. It's a bit like a treasure hunt and it's cheaper. However, some situations, especially when buying gifts, lead me to buy clothes in stores. Moreover, I sometimes have a weakness for a certain clothing which is only available in store.","Some products have no equivalent without packaging, but for those that do, or for those products that are not so good and whose purchase depends on my individual pleasure, it's an easy choice to make. Example: I don't buy any more Waouh pancakes even if it hurts my little heart.","I am able to do this but it would change my lifestyle. I would have to adapt to cooking only with seasonal fruits and vegetables and that can be restrictive when you have a specific dish in mind.","This will decrease my energy impact so that's good. The only constraint is my laptop where I sometimes have pages open that I want/need to keep open.","Just think about it. I don't mind putting on a sweater when I'm in my room, and when my extremities get cold, I just stick to the radiator.","I am already almost vegetarian, I eat fish but rarely. The only constraint is that I can no longer eat cheese and eggs or cereals because these are foods that I like to eat. I cannot do without a bowl of cereal if the opportunity arises. The economic constraint doesn't bother me as much as the fact that I have to do without non-vegan foods in what I eat.","It costs me less money and despite the fact that my room smells musty throughout the day, I tell myself that all I have to do is open a window to air out.",19,"M","City","Student","bulk_score",2
"6","1","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","I don't have a car or a license, nor the code.","I like to travel and I would like to see my mother from time to time who lives 3000km away from me.","I find that borrowing is going to be more advantageous to me economically speaking and then it doesn't make me hot or cold not to be the owner of an object that has no sentimental value, that I will use anyway only once.","I love buying second hand clothes, it's like a treasure hunt. It's a bit like a treasure hunt and it's cheaper. However, some situations, especially when buying gifts, lead me to buy clothes in stores. Moreover, I sometimes have a weakness for a certain clothing which is only available in store.","Some products have no equivalent without packaging, but for those that do, or for those products that are not so good and whose purchase depends on my individual pleasure, it's an easy choice to make. Example: I don't buy any more Waouh pancakes even if it hurts my little heart.","I am able to do this but it would change my lifestyle. I would have to adapt to cooking only with seasonal fruits and vegetables and that can be restrictive when you have a specific dish in mind.","This will decrease my energy impact so that's good. The only constraint is my laptop where I sometimes have pages open that I want/need to keep open.","Just think about it. I don't mind putting on a sweater when I'm in my room, and when my extremities get cold, I just stick to the radiator.","I am already almost vegetarian, I eat fish but rarely. The only constraint is that I can no longer eat cheese and eggs or cereals because these are foods that I like to eat. I cannot do without a bowl of cereal if the opportunity arises. The economic constraint doesn't bother me as much as the fact that I have to do without non-vegan foods in what I eat.","It costs me less money and despite the fact that my room smells musty throughout the day, I tell myself that all I have to do is open a window to air out.",19,"M","City","Student","local_products_score",2
"7","1","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","I don't have a car or a license, nor the code.","I like to travel and I would like to see my mother from time to time who lives 3000km away from me.","I find that borrowing is going to be more advantageous to me economically speaking and then it doesn't make me hot or cold not to be the owner of an object that has no sentimental value, that I will use anyway only once.","I love buying second hand clothes, it's like a treasure hunt. It's a bit like a treasure hunt and it's cheaper. However, some situations, especially when buying gifts, lead me to buy clothes in stores. Moreover, I sometimes have a weakness for a certain clothing which is only available in store.","Some products have no equivalent without packaging, but for those that do, or for those products that are not so good and whose purchase depends on my individual pleasure, it's an easy choice to make. Example: I don't buy any more Waouh pancakes even if it hurts my little heart.","I am able to do this but it would change my lifestyle. I would have to adapt to cooking only with seasonal fruits and vegetables and that can be restrictive when you have a specific dish in mind.","This will decrease my energy impact so that's good. The only constraint is my laptop where I sometimes have pages open that I want/need to keep open.","Just think about it. I don't mind putting on a sweater when I'm in my room, and when my extremities get cold, I just stick to the radiator.","I am already almost vegetarian, I eat fish but rarely. The only constraint is that I can no longer eat cheese and eggs or cereals because these are foods that I like to eat. I cannot do without a bowl of cereal if the opportunity arises. The economic constraint doesn't bother me as much as the fact that I have to do without non-vegan foods in what I eat.","It costs me less money and despite the fact that my room smells musty throughout the day, I tell myself that all I have to do is open a window to air out.",19,"M","City","Student","unplug_score",1
"8","1","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","I don't have a car or a license, nor the code.","I like to travel and I would like to see my mother from time to time who lives 3000km away from me.","I find that borrowing is going to be more advantageous to me economically speaking and then it doesn't make me hot or cold not to be the owner of an object that has no sentimental value, that I will use anyway only once.","I love buying second hand clothes, it's like a treasure hunt. It's a bit like a treasure hunt and it's cheaper. However, some situations, especially when buying gifts, lead me to buy clothes in stores. Moreover, I sometimes have a weakness for a certain clothing which is only available in store.","Some products have no equivalent without packaging, but for those that do, or for those products that are not so good and whose purchase depends on my individual pleasure, it's an easy choice to make. Example: I don't buy any more Waouh pancakes even if it hurts my little heart.","I am able to do this but it would change my lifestyle. I would have to adapt to cooking only with seasonal fruits and vegetables and that can be restrictive when you have a specific dish in mind.","This will decrease my energy impact so that's good. The only constraint is my laptop where I sometimes have pages open that I want/need to keep open.","Just think about it. I don't mind putting on a sweater when I'm in my room, and when my extremities get cold, I just stick to the radiator.","I am already almost vegetarian, I eat fish but rarely. The only constraint is that I can no longer eat cheese and eggs or cereals because these are foods that I like to eat. I cannot do without a bowl of cereal if the opportunity arises. The economic constraint doesn't bother me as much as the fact that I have to do without non-vegan foods in what I eat.","It costs me less money and despite the fact that my room smells musty throughout the day, I tell myself that all I have to do is open a window to air out.",19,"M","City","Student","low_temperature_score",0
"9","1","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","I don't have a car or a license, nor the code.","I like to travel and I would like to see my mother from time to time who lives 3000km away from me.","I find that borrowing is going to be more advantageous to me economically speaking and then it doesn't make me hot or cold not to be the owner of an object that has no sentimental value, that I will use anyway only once.","I love buying second hand clothes, it's like a treasure hunt. It's a bit like a treasure hunt and it's cheaper. However, some situations, especially when buying gifts, lead me to buy clothes in stores. Moreover, I sometimes have a weakness for a certain clothing which is only available in store.","Some products have no equivalent without packaging, but for those that do, or for those products that are not so good and whose purchase depends on my individual pleasure, it's an easy choice to make. Example: I don't buy any more Waouh pancakes even if it hurts my little heart.","I am able to do this but it would change my lifestyle. I would have to adapt to cooking only with seasonal fruits and vegetables and that can be restrictive when you have a specific dish in mind.","This will decrease my energy impact so that's good. The only constraint is my laptop where I sometimes have pages open that I want/need to keep open.","Just think about it. I don't mind putting on a sweater when I'm in my room, and when my extremities get cold, I just stick to the radiator.","I am already almost vegetarian, I eat fish but rarely. The only constraint is that I can no longer eat cheese and eggs or cereals because these are foods that I like to eat. I cannot do without a bowl of cereal if the opportunity arises. The economic constraint doesn't bother me as much as the fact that I have to do without non-vegan foods in what I eat.","It costs me less money and despite the fact that my room smells musty throughout the day, I tell myself that all I have to do is open a window to air out.",19,"M","City","Student","vegetarian_score",4
"10","1","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","I don't have a car or a license, nor the code.","I like to travel and I would like to see my mother from time to time who lives 3000km away from me.","I find that borrowing is going to be more advantageous to me economically speaking and then it doesn't make me hot or cold not to be the owner of an object that has no sentimental value, that I will use anyway only once.","I love buying second hand clothes, it's like a treasure hunt. It's a bit like a treasure hunt and it's cheaper. However, some situations, especially when buying gifts, lead me to buy clothes in stores. Moreover, I sometimes have a weakness for a certain clothing which is only available in store.","Some products have no equivalent without packaging, but for those that do, or for those products that are not so good and whose purchase depends on my individual pleasure, it's an easy choice to make. Example: I don't buy any more Waouh pancakes even if it hurts my little heart.","I am able to do this but it would change my lifestyle. I would have to adapt to cooking only with seasonal fruits and vegetables and that can be restrictive when you have a specific dish in mind.","This will decrease my energy impact so that's good. The only constraint is my laptop where I sometimes have pages open that I want/need to keep open.","Just think about it. I don't mind putting on a sweater when I'm in my room, and when my extremities get cold, I just stick to the radiator.","I am already almost vegetarian, I eat fish but rarely. The only constraint is that I can no longer eat cheese and eggs or cereals because these are foods that I like to eat. I cannot do without a bowl of cereal if the opportunity arises. The economic constraint doesn't bother me as much as the fact that I have to do without non-vegan foods in what I eat.","It costs me less money and despite the fact that my room smells musty throughout the day, I tell myself that all I have to do is open a window to air out.",19,"M","City","Student","air_drying_score",0
