"","Judge","car_alone","never_airplane","loaner","clothes_second","bulk","local_products","unplug","low_temperature","vegetarian","air_drying","car_alone_text","never_airplane_text","loaner_text","clothes_second_text","bulk_text","local_products_text","unplug_text","low_temperature_text","vegetarian_text","air_drying_text","age","situation","residence","occupation","Habit","Score"
"1","1","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","I don't have a car or a license, nor the code.","I like to travel and I would like to see my mother from time to time who lives 3000km away from me.","I find that borrowing is going to be more advantageous to me economically speaking and then it doesn't make me hot or cold not to be the owner of an object that has no sentimental value, that I will use anyway only once.","I love buying second hand clothes, it's like a treasure hunt. It's a bit like a treasure hunt and it's cheaper. However, some situations, especially when buying gifts, lead me to buy clothes in stores. Moreover, I sometimes have a weakness for a certain clothing which is only available in store.","Some products have no equivalent without packaging, but for those that do, or for those products that are not so good and whose purchase depends on my individual pleasure, it's an easy choice to make. Example: I don't buy any more Waouh pancakes even if it hurts my little heart.","I am able to do this but it would change my lifestyle. I would have to adapt to cooking only with seasonal fruits and vegetables and that can be restrictive when you have a specific dish in mind.","This will decrease my energy impact so that's good. The only constraint is my laptop where I sometimes have pages open that I want/need to keep open.","Just think about it. I don't mind putting on a sweater when I'm in my room, and when my extremities get cold, I just stick to the radiator.","I am already almost vegetarian, I eat fish but rarely. The only constraint is that I can no longer eat cheese and eggs or cereals because these are foods that I like to eat. I cannot do without a bowl of cereal if the opportunity arises. The economic constraint doesn't bother me as much as the fact that I have to do without non-vegan foods in what I eat.","It costs me less money and despite the fact that my room smells musty throughout the day, I tell myself that all I have to do is open a window to air out.",19,"M","City","Student","never_airplane_score",5
"2","1","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","I don't have a car or a license, nor the code.","I like to travel and I would like to see my mother from time to time who lives 3000km away from me.","I find that borrowing is going to be more advantageous to me economically speaking and then it doesn't make me hot or cold not to be the owner of an object that has no sentimental value, that I will use anyway only once.","I love buying second hand clothes, it's like a treasure hunt. It's a bit like a treasure hunt and it's cheaper. However, some situations, especially when buying gifts, lead me to buy clothes in stores. Moreover, I sometimes have a weakness for a certain clothing which is only available in store.","Some products have no equivalent without packaging, but for those that do, or for those products that are not so good and whose purchase depends on my individual pleasure, it's an easy choice to make. Example: I don't buy any more Waouh pancakes even if it hurts my little heart.","I am able to do this but it would change my lifestyle. I would have to adapt to cooking only with seasonal fruits and vegetables and that can be restrictive when you have a specific dish in mind.","This will decrease my energy impact so that's good. The only constraint is my laptop where I sometimes have pages open that I want/need to keep open.","Just think about it. I don't mind putting on a sweater when I'm in my room, and when my extremities get cold, I just stick to the radiator.","I am already almost vegetarian, I eat fish but rarely. The only constraint is that I can no longer eat cheese and eggs or cereals because these are foods that I like to eat. I cannot do without a bowl of cereal if the opportunity arises. The economic constraint doesn't bother me as much as the fact that I have to do without non-vegan foods in what I eat.","It costs me less money and despite the fact that my room smells musty throughout the day, I tell myself that all I have to do is open a window to air out.",19,"M","City","Student","unplug_score",1
"3","2","Yes","No","Yes","Yes","No","Yes","Yes","Yes","No","Yes","I don't have a car and have always used public transport without it bothering me. It's not necessarily a waste of time, I can keep myself busy on the way.","Traveling is one of the things I like to do the most, and it would sadden me to not be able to discover new things around the world, to be stuck in one territory.","It saves money and space at home. Moreover, we can share many things mutually, it can create social link.","I am not interested in fashion, going to the stores bores me deeply and I do not like to buy for the sake of buying and having material goods.","For some products I can do it like for flour, eggs, pasta. But sometimes the packaging is convenient to store the products.","I'm willing to do it, it can diversify one's knowledge of unfamiliar seasonal fruits and vegetables. Some exotic products may be missing like mango but it is possible to find other alternatives and still eat well.","It can take a while to get some appliances working again, but it still saves energy and it's not very restrictive either, we're just sometimes a little impatient because everything has to go fast, but I think I can get used to it very quickly","I already do it, it saves energy, then it's nice to put on clothes that can sometimes be much warmer than heating. Moreover it can reduce the thermal shocks when we go out and it's cold.","My food tastes are complicated, some vegetables disgust me. However, seasoned properly, it can be done. The most difficult thing would be to do without foods that I like very much in taste and that I might miss.","I already do it, I don't mind, I enjoy taking time to hang my laundry while listening to podcasts or music.",20,"M","City","Student","never_airplane_score",3
"4","2","Yes","No","Yes","Yes","No","Yes","Yes","Yes","No","Yes","I don't have a car and have always used public transport without it bothering me. It's not necessarily a waste of time, I can keep myself busy on the way.","Traveling is one of the things I like to do the most, and it would sadden me to not be able to discover new things around the world, to be stuck in one territory.","It saves money and space at home. Moreover, we can share many things mutually, it can create social link.","I am not interested in fashion, going to the stores bores me deeply and I do not like to buy for the sake of buying and having material goods.","For some products I can do it like for flour, eggs, pasta. But sometimes the packaging is convenient to store the products.","I'm willing to do it, it can diversify one's knowledge of unfamiliar seasonal fruits and vegetables. Some exotic products may be missing like mango but it is possible to find other alternatives and still eat well.","It can take a while to get some appliances working again, but it still saves energy and it's not very restrictive either, we're just sometimes a little impatient because everything has to go fast, but I think I can get used to it very quickly","I already do it, it saves energy, then it's nice to put on clothes that can sometimes be much warmer than heating. Moreover it can reduce the thermal shocks when we go out and it's cold.","My food tastes are complicated, some vegetables disgust me. However, seasoned properly, it can be done. The most difficult thing would be to do without foods that I like very much in taste and that I might miss.","I already do it, I don't mind, I enjoy taking time to hang my laundry while listening to podcasts or music.",20,"M","City","Student","unplug_score",2
"5","3","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","I am able to do it because it is not complicated to find someone to share a journey, whether it is to cross the country or to go shopping. It is also more economical On the other hand, it requires to always take the initiative to look for carpoolers, which can become a certain waste of time and energy in the long run","I can't apply this habit first of all for economic reasons, because for each trip I had to make a little far away the plane is the cheapest option while being the fastest, otherwise I would take the train each time without problem. From a more personal point of view, I would find it difficult to deprive myself forever of the opportunity to visit other countries and other cultures from time to time, which only the plane allows for a limited time. That said, with more organization and more budget I think it would be possible for me to do it in the future.","It seems to me much easier than buying material every time, having to inform myself about the best choice, losing money and then storing it at home. The only constraint is to move around but it seems normal to me and I live quite close to DIY stores that might offer this service.","It's something I already do and I find it pretty easy. One of the main constraints is the presence of second hand stores where I am but I've always managed to do it and there are now a lot of choices online too. Otherwise it's usually the same as buying clothes normally with a little less choice but usually either cheaper or more durable so it's also a saving in the long run.","I already do it, I think it is difficult to set up at the beginning the time to get used to the available choice which is inevitably reduced) and to adapt on the kitchen level.","I'm already doing it, it just required me to look for recipes to change my daily diet.","I'm already used to doing it so I don't see any benefit or constraint, it just became a reflex","I already do it, the only constraint was to change the temperature in the morning and evening before I have a thermostat","I already do it almost, the main constraint is when I'm not at home and I didn't plan to eat outside, the available options are usually not completely vegetable. I would have to get more organized.","I already do it because I find it faster than going to a laundromat to get a dryer.",22,"H","City","Student","never_airplane_score",4
"6","3","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","I am able to do it because it is not complicated to find someone to share a journey, whether it is to cross the country or to go shopping. It is also more economical On the other hand, it requires to always take the initiative to look for carpoolers, which can become a certain waste of time and energy in the long run","I can't apply this habit first of all for economic reasons, because for each trip I had to make a little far away the plane is the cheapest option while being the fastest, otherwise I would take the train each time without problem. From a more personal point of view, I would find it difficult to deprive myself forever of the opportunity to visit other countries and other cultures from time to time, which only the plane allows for a limited time. That said, with more organization and more budget I think it would be possible for me to do it in the future.","It seems to me much easier than buying material every time, having to inform myself about the best choice, losing money and then storing it at home. The only constraint is to move around but it seems normal to me and I live quite close to DIY stores that might offer this service.","It's something I already do and I find it pretty easy. One of the main constraints is the presence of second hand stores where I am but I've always managed to do it and there are now a lot of choices online too. Otherwise it's usually the same as buying clothes normally with a little less choice but usually either cheaper or more durable so it's also a saving in the long run.","I already do it, I think it is difficult to set up at the beginning the time to get used to the available choice which is inevitably reduced) and to adapt on the kitchen level.","I'm already doing it, it just required me to look for recipes to change my daily diet.","I'm already used to doing it so I don't see any benefit or constraint, it just became a reflex","I already do it, the only constraint was to change the temperature in the morning and evening before I have a thermostat","I already do it almost, the main constraint is when I'm not at home and I didn't plan to eat outside, the available options are usually not completely vegetable. I would have to get more organized.","I already do it because I find it faster than going to a laundromat to get a dryer.",22,"H","City","Student","unplug_score",1
"7","4","Yes","No","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Even if it may seem restrictive, especially to lengthen travel times, make detours and therefore consume gasoline, I find it interesting to share one's journey with other people in order to meet them. In addition, if everyone did it, there would be fewer cars on the road and therefore less traffic jams.","Despite the impact on the climate, I have always liked to travel and considering the prices of other means of transportation (train, bus), it is not possible for me to change all the time my means of transportation. Even if I try to limit the number of trips by plane, it should also be noted that the plane is a fast means of transport compared to the train or the bus and as often the trips are limited by the time, it does not seem to me conceivable today to take all the time other means of transport.","This would mean that I would pay less for tools rather than buying new ones (which I wouldn't use often), so it seems pretty easy to implement this habit.","Second hand clothes websites are already widespread, as well as many thrift stores are present in the cities. So it has never been difficult for me to find clothes, and that's why I have already set up this habit. Moreover, I think that second hand clothes resale websites will become more popular in the next few years, making the choices even bigger.","Bulk shelves are growing more and more, even if the choices are still not as important as for packaged products it seems to be possible to find a lot of products in bulk, which facilitates the implementation of this habit.","In order for me to change this habit, I would need to have more knowledge about local and seasonal products, especially more recipe books on how to cook them. Indeed, exotic products are sometimes products that are easy to cook, that we have in our daily life and so to do without these products would mean that I would have to learn how to cook again knowing that sometimes we don't have time to cook, or to learn new recipes all the time. To do without these products at several times during the year or to limit my consumption seems to me on the other hand to be a habit that I could put in place.","If at the beginning I could have difficulty to set up this habit because I will forget, once it will be anchored in my daily gestures, this habit does not seem to me constraining and simple to set up especially if I know that it has an impact on the global warming.","It all depends on the temperature at home, but one degree less doesn't necessarily have much of an impact and putting on a sweater or two doesn't seem like a big deal if I'm at home.","Even if a strictly vegetal diet can be beneficial for health, it seems to me difficult to put in place as long as this diet is not developed in collective restaurants. Indeed, especially for canteens etc., it would imply to bring one's own meal knowing that one does not necessarily have the time to prepare several meals in the evening when coming back home. But I like the idea of learning new recipes, which on my personal side, I cook mainly vegetal. The other problem with this diet is that some products are expensive and not necessarily affordable for everyone.","I can always find solutions to make it take up less space, to reorganize my space. In addition, the clothes are not necessarily damaged by the dryer.",21,"M","City","Student","never_airplane_score",4
"8","4","Yes","No","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Even if it may seem restrictive, especially to lengthen travel times, make detours and therefore consume gasoline, I find it interesting to share one's journey with other people in order to meet them. In addition, if everyone did it, there would be fewer cars on the road and therefore less traffic jams.","Despite the impact on the climate, I have always liked to travel and considering the prices of other means of transportation (train, bus), it is not possible for me to change all the time my means of transportation. Even if I try to limit the number of trips by plane, it should also be noted that the plane is a fast means of transport compared to the train or the bus and as often the trips are limited by the time, it does not seem to me conceivable today to take all the time other means of transport.","This would mean that I would pay less for tools rather than buying new ones (which I wouldn't use often), so it seems pretty easy to implement this habit.","Second hand clothes websites are already widespread, as well as many thrift stores are present in the cities. So it has never been difficult for me to find clothes, and that's why I have already set up this habit. Moreover, I think that second hand clothes resale websites will become more popular in the next few years, making the choices even bigger.","Bulk shelves are growing more and more, even if the choices are still not as important as for packaged products it seems to be possible to find a lot of products in bulk, which facilitates the implementation of this habit.","In order for me to change this habit, I would need to have more knowledge about local and seasonal products, especially more recipe books on how to cook them. Indeed, exotic products are sometimes products that are easy to cook, that we have in our daily life and so to do without these products would mean that I would have to learn how to cook again knowing that sometimes we don't have time to cook, or to learn new recipes all the time. To do without these products at several times during the year or to limit my consumption seems to me on the other hand to be a habit that I could put in place.","If at the beginning I could have difficulty to set up this habit because I will forget, once it will be anchored in my daily gestures, this habit does not seem to me constraining and simple to set up especially if I know that it has an impact on the global warming.","It all depends on the temperature at home, but one degree less doesn't necessarily have much of an impact and putting on a sweater or two doesn't seem like a big deal if I'm at home.","Even if a strictly vegetal diet can be beneficial for health, it seems to me difficult to put in place as long as this diet is not developed in collective restaurants. Indeed, especially for canteens etc., it would imply to bring one's own meal knowing that one does not necessarily have the time to prepare several meals in the evening when coming back home. But I like the idea of learning new recipes, which on my personal side, I cook mainly vegetal. The other problem with this diet is that some products are expensive and not necessarily affordable for everyone.","I can always find solutions to make it take up less space, to reorganize my space. In addition, the clothes are not necessarily damaged by the dryer.",21,"M","City","Student","unplug_score",0
"9","5","No","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","It is quite difficult to get used to other people's schedules except for my family members, there can be unforeseen events and in the current health context it is more difficult to take strangers in our car","I have never taken a plane and it doesn't bother me, I travel mainly in France by car or train.","It would be possible to set it up for objects that I use occasionally, for example I already borrow from friends or acquaintances. If it is punctual, I don't mind not being the owner of the object, it even allows me to save money. It also allows to use more often tools that are not used much, it increases their usefulness.","I already try to make this habit as much as possible but for some clothes I prefer to buy new for example shoes since they have to fit our feet and everything depends on the quality of the second hand and for some items the second hand can be more expensive than buying new.","It is a constraining habit because it is necessary to always have containers on one's person and it is not often the case, but if it is necessary, one can prepare lists in advance and have one's containers before going shopping + go to the bulk departments (just know how to reorient one's choice of stores)","This is very restrictive since, given my vegetarian diet, it would mean that I would have to reduce my choice of fruits and vegetables and I would no longer have access to chocolate or other pleasurable products (I have already reduced other animal products that I liked).","It's a bit of a hassle since you have to think about it all the time but in itself it's very quick to do, it won't take much longer.","It's very annoying when it's very cold in the winter but I don't mind if we can reduce our impact and save money at the same time, I'm on district heating and I can't really control the temperature so I adapt.","I already have a vegetarian diet and even if it is quite complicated at the beginning, it is still feasible if our timeless values take precedence over our gustatory pleasure, which is momentary, but for certain foods such as dairy products it can be more difficult to replace.","I do this a lot, I don't use a dryer with my family, we all put the laundry to dry together.",20,"L","City","Student","never_airplane_score",1
"10","5","No","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","It is quite difficult to get used to other people's schedules except for my family members, there can be unforeseen events and in the current health context it is more difficult to take strangers in our car","I have never taken a plane and it doesn't bother me, I travel mainly in France by car or train.","It would be possible to set it up for objects that I use occasionally, for example I already borrow from friends or acquaintances. If it is punctual, I don't mind not being the owner of the object, it even allows me to save money. It also allows to use more often tools that are not used much, it increases their usefulness.","I already try to make this habit as much as possible but for some clothes I prefer to buy new for example shoes since they have to fit our feet and everything depends on the quality of the second hand and for some items the second hand can be more expensive than buying new.","It is a constraining habit because it is necessary to always have containers on one's person and it is not often the case, but if it is necessary, one can prepare lists in advance and have one's containers before going shopping + go to the bulk departments (just know how to reorient one's choice of stores)","This is very restrictive since, given my vegetarian diet, it would mean that I would have to reduce my choice of fruits and vegetables and I would no longer have access to chocolate or other pleasurable products (I have already reduced other animal products that I liked).","It's a bit of a hassle since you have to think about it all the time but in itself it's very quick to do, it won't take much longer.","It's very annoying when it's very cold in the winter but I don't mind if we can reduce our impact and save money at the same time, I'm on district heating and I can't really control the temperature so I adapt.","I already have a vegetarian diet and even if it is quite complicated at the beginning, it is still feasible if our timeless values take precedence over our gustatory pleasure, which is momentary, but for certain foods such as dairy products it can be more difficult to replace.","I do this a lot, I don't use a dryer with my family, we all put the laundry to dry together.",20,"L","City","Student","unplug_score",2
"11","6","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","When I'm at school I don't use a car When I'm at home it could be a constraint to make unexpected and sudden trips It requires organization But it allows me to be in contact with other people, which is positive","I find it very demanding because tourism and the discovery of other cultures is important to me. It requires organization. The benefits are that I would be proud to reduce my carbon footprint by finding other (perhaps innovative) ways to travel.","I find it restrictive because it requires organization and time. You have to think ahead about the material you need and travel to get it. I find it beneficial because it saves space and money.","I find this difficult to do because second hand clothes can be very expensive and I have trouble finding clothes I like. I find it beneficial because I would be more careful with my purchases and therefore happier to buy a piece.","I would be able to but I find it very restrictive because I need to have a large quantity of containers, go to specialized stores that do not exist everywhere and do not have much choice. I find it beneficial because it would allow me to limit my waste and therefore to take out my trash less often. It is also more aesthetic. It requires to take note of the indications of cooking beforehand which is constraining.","I find it difficult today to stop consuming tea, chocolate for example. But I hope to do so in the future.","I find it restrictive because it requires thinking about it every day. But I find that the benefits outweigh the constraints. It saves money which is beneficial.","I find it restrictive because the cold is not pleasant sometimes but I find it beneficial from an economic point of view and it is comfortable to have thick clothes.","I am a vegetarian but since I eat at the canteen and don't have the time to work on my recipes so that my needs are met, I find it difficult. This is beneficial because the benefits of certain plant foods are good for your health.","I have very little room in my room so I find it difficult. But it saves money and doesn't deteriorate the quality of the clothes.",20,"M","City","Student","never_airplane_score",5
"12","6","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","When I'm at school I don't use a car When I'm at home it could be a constraint to make unexpected and sudden trips It requires organization But it allows me to be in contact with other people, which is positive","I find it very demanding because tourism and the discovery of other cultures is important to me. It requires organization. The benefits are that I would be proud to reduce my carbon footprint by finding other (perhaps innovative) ways to travel.","I find it restrictive because it requires organization and time. You have to think ahead about the material you need and travel to get it. I find it beneficial because it saves space and money.","I find this difficult to do because second hand clothes can be very expensive and I have trouble finding clothes I like. I find it beneficial because I would be more careful with my purchases and therefore happier to buy a piece.","I would be able to but I find it very restrictive because I need to have a large quantity of containers, go to specialized stores that do not exist everywhere and do not have much choice. I find it beneficial because it would allow me to limit my waste and therefore to take out my trash less often. It is also more aesthetic. It requires to take note of the indications of cooking beforehand which is constraining.","I find it difficult today to stop consuming tea, chocolate for example. But I hope to do so in the future.","I find it restrictive because it requires thinking about it every day. But I find that the benefits outweigh the constraints. It saves money which is beneficial.","I find it restrictive because the cold is not pleasant sometimes but I find it beneficial from an economic point of view and it is comfortable to have thick clothes.","I am a vegetarian but since I eat at the canteen and don't have the time to work on my recipes so that my needs are met, I find it difficult. This is beneficial because the benefits of certain plant foods are good for your health.","I have very little room in my room so I find it difficult. But it saves money and doesn't deteriorate the quality of the clothes.",20,"M","City","Student","unplug_score",1
"13","7","Yes","No","Yes","No","No","No","Yes","Yes","No","Yes","I don't have a car","If there is a more or less equivalent way, I avoid the plane, otherwise I will not give up my vacations. I also limit my vacations: I will not make more than 2 airplane trips per year!","also an economic advantage","but it is a habit I am trying to develop more and more.","I pay a minimum of attention to the fact that the products I buy are not too overpackaged","I do it as much as possible","it makes a small difference but it's better than nothing","we have always heated very little at home so it seems natural to me: in winter we have the sweater also inside!","eating meat in moderation is not dangerous for the climate","when we are not pressed for time or space I do it",19,"M","City","Student","never_airplane_score",1
"14","7","Yes","No","Yes","No","No","No","Yes","Yes","No","Yes","I don't have a car","If there is a more or less equivalent way, I avoid the plane, otherwise I will not give up my vacations. I also limit my vacations: I will not make more than 2 airplane trips per year!","also an economic advantage","but it is a habit I am trying to develop more and more.","I pay a minimum of attention to the fact that the products I buy are not too overpackaged","I do it as much as possible","it makes a small difference but it's better than nothing","we have always heated very little at home so it seems natural to me: in winter we have the sweater also inside!","eating meat in moderation is not dangerous for the climate","when we are not pressed for time or space I do it",19,"M","City","Student","unplug_score",3
"15","8","No","No","Yes","No","Yes","Yes","Yes","Yes","No","Yes","It is possible that for specific and sudden events I do not have time to plan a carpool","I will potentially need it for my studies or my professional career","It is often more profitable and the material does not encumber me afterwards like that","For technical clothing or underwear I prefer to buy new","It allows me to be more creative in the kitchen","I don't need to take a lawyer across the planet for my own pleasure","The appliances wear out less quickly, there is less visual pollution at night in my home","I reduce my energy consumption and lower my energy bill","Pleasure is important in my diet","I plan my laundry better so I don't run out of clothes",21,"M","City","Student","never_airplane_score",2
"16","8","No","No","Yes","No","Yes","Yes","Yes","Yes","No","Yes","It is possible that for specific and sudden events I do not have time to plan a carpool","I will potentially need it for my studies or my professional career","It is often more profitable and the material does not encumber me afterwards like that","For technical clothing or underwear I prefer to buy new","It allows me to be more creative in the kitchen","I don't need to take a lawyer across the planet for my own pleasure","The appliances wear out less quickly, there is less visual pollution at night in my home","I reduce my energy consumption and lower my energy bill","Pleasure is important in my diet","I plan my laundry better so I don't run out of clothes",21,"M","City","Student","unplug_score",0
"17","9","No","Yes","Yes","No","No","No","Yes","Yes","No","Yes","I don't have a car or a license, nor the code.","Environment / possibility to use other means of transportation","Avoid keeping everything","Easier to find clothes that are not second hand","Some products have no equivalent without packaging, but for those that do, or for those products that are not so good and whose purchase depends on my individual pleasure, it's an easy choice to make. Example: I don't buy any more Waouh pancakes even if it hurts my little heart.","For some seasons, we may lack some products","Avoiding overconsumption","Avoiding overconsumption","I want to continue eating meat even if I reduce my consumption","It costs me less money and despite the fact that my room smells musty throughout the day, I tell myself that all I have to do is open a window to air out.",19,"M","City","Student","never_airplane_score",2
"18","9","No","Yes","Yes","No","No","No","Yes","Yes","No","Yes","I don't have a car or a license, nor the code.","Environment / possibility to use other means of transportation","Avoid keeping everything","Easier to find clothes that are not second hand","Some products have no equivalent without packaging, but for those that do, or for those products that are not so good and whose purchase depends on my individual pleasure, it's an easy choice to make. Example: I don't buy any more Waouh pancakes even if it hurts my little heart.","For some seasons, we may lack some products","Avoiding overconsumption","Avoiding overconsumption","I want to continue eating meat even if I reduce my consumption","It costs me less money and despite the fact that my room smells musty throughout the day, I tell myself that all I have to do is open a window to air out.",19,"M","City","Student","unplug_score",2
"19","10","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Tolls are expensive, gasoline is expensive, giving service to others is cool, less cars equals less traffic jams equals less pollution","The plane is bad and I'm afraid it will explode","It costs less to ask your neighbor for a drill than to buy one","Fast fashion is no longer possible","Plastic is bad","Local is better and it pollutes less","Energy saving","I don't turn on the heat","For my personal health first","In a 9 square meter space it's just not possible",21,"L","Rural","Student","never_airplane_score",1
"20","10","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Tolls are expensive, gasoline is expensive, giving service to others is cool, less cars equals less traffic jams equals less pollution","The plane is bad and I'm afraid it will explode","It costs less to ask your neighbor for a drill than to buy one","Fast fashion is no longer possible","Plastic is bad","Local is better and it pollutes less","Energy saving","I don't turn on the heat","For my personal health first","In a 9 square meter space it's just not possible",21,"L","Rural","Student","unplug_score",0
"21","11","Yes","No","No","Yes","Yes","No","Yes","Yes","No","Yes","I don't have a license It's sad all that fuel for 1","No domestic flight, maximizing train and boat, but I want to see the world. 8 hours of train alone is fine, if I'm not alone, we can choose together","I don't have a driver's license and live outside of Rennes, so the commute is usually way too long. In general I play the macgiver","I'm very picky about clothes and I don't like to throw away. I'd rather wear a pair of worn out jeans than buy a new pair.","I don't do it yet because I'm still recovering containers, and the problem is that supermarkets aren't always adapted to bring jars or anything","I am very picky about food, sometimes depriving myself can put me in danger. I limit the exotic products as much as possible but I take some from time to time","Fear of an electrical fire and energy saving","I prefer to live in cooler weather than in hot weather, sweaters are not made to decorate the wardrobe. The problem is to make others accept it","I'm very picky about food, depriving myself of meat would be risky, even if I try to limit it. At the restaurant, I often have the choice between 1 dish, which I often modify, so no meat is a no","Before I lived in Rennes, the dryer was only for towels. Now I don't have the space and I have too much humidity to do it",21,"M","City","Student","never_airplane_score",4
